task,dimension,model,prompt,accuracy,macro_f1,n,VERY LOW_precision,VERY LOW_recall,VERY LOW_f1,VERY LOW_support,LOW_precision,LOW_recall,LOW_f1,LOW_support,HIGH_precision,HIGH_recall,HIGH_f1,HIGH_support,VERY HIGH_precision,VERY HIGH_recall,VERY HIGH_f1,VERY HIGH_support
joint,factuality,claude-sonnet-4-6,engineered,0.794,0.7719,199,0.7778,0.56,0.6512,50,0.5902,0.7347,0.6545,49,0.9149,0.9663,0.9399,89,1.0,0.7273,0.8421,11
joint,factuality,claude-sonnet-4-6,simple,0.7487,0.6973,199,0.8276,0.48,0.6076,50,0.5507,0.7755,0.6441,49,0.908,0.8876,0.8977,89,0.5714,0.7273,0.64,11
joint,factuality,gemini-2-5-flash-lite,engineered,0.665,0.5088,197,0.6071,0.3542,0.4474,48,0.4521,0.66,0.5366,50,0.8421,0.8989,0.8696,89,1.0,0.1,0.1818,10
joint,factuality,gemini-2-5-flash-lite,simple,0.63,0.5402,200,0.6129,0.38,0.4691,50,0.4583,0.44,0.449,50,0.7339,0.8989,0.8081,89,0.4167,0.4545,0.4348,11
joint,factuality,gemma-4-31b,engineered,0.645,0.5789,200,0.7308,0.38,0.5,50,0.5435,0.5,0.5208,50,0.6964,0.8764,0.7761,89,0.4375,0.6364,0.5185,11
joint,factuality,gemma-4-31b,simple,0.51,0.4338,200,0.6,0.12,0.2,50,0.4085,0.58,0.4793,50,0.6383,0.6742,0.6557,89,0.2917,0.6364,0.4,11
joint,factuality,gpt-5-5,engineered,0.77,0.656,200,0.65,0.78,0.7091,50,0.6857,0.48,0.5647,50,0.8627,0.9888,0.9215,89,1.0,0.2727,0.4286,11
joint,factuality,gpt-5-5,simple,0.77,0.6557,200,0.7083,0.68,0.6939,50,0.64,0.64,0.64,50,0.8763,0.9551,0.914,89,0.6,0.2727,0.375,11
joint,factuality,kimi-k2-6,engineered,0.75,0.45,4,1.0,1.0,1.0,1,0.0,0.0,0.0,0,0.6667,1.0,0.8,2,0.0,0.0,0.0,1
joint,factuality,kimi-k2-6,simple,0.7789,0.6707,199,0.6897,0.8163,0.7477,49,0.75,0.6,0.6667,50,0.9,0.9101,0.905,89,0.3636,0.3636,0.3636,11
joint,factuality,qwen2-5-vl-72b,engineered,0.73,0.6496,200,0.7647,0.52,0.619,50,0.5484,0.68,0.6071,50,0.8283,0.9213,0.8723,89,0.8,0.3636,0.5,11
joint,factuality,qwen2-5-vl-72b,simple,0.62,0.4505,200,0.75,0.06,0.1111,50,0.4242,0.84,0.5638,50,0.8191,0.8652,0.8415,89,0.6667,0.1818,0.2857,11
