media_name,url,image_path,timestamp,country,factuality,trustworthiness,bias_rating,MBFC_source,label_3class
100 Mile Free Press,https://100milefreepress.net,mediascopeAll/100_Mile_Free_Press.png,2026-06-03 17:39:43,,HIGH,1,LEFT-CENTER,,HIGH
21st Century Wire,https://21stcenturywire.com,mediascopeAll/21st_Century_Wire.png,2026-06-08 16:38:23,USA,MIXED,,RIGHT,,MIXED
247Sports,https://247sports.com,mediascopeAll/247Sports.png,2026-06-03 17:40:33,,HIGH,1,LEAST BIASED,,HIGH
350 Aotearoa,https://350.org.nz,mediascopeAll/350_Aotearoa.png,2026-06-03 17:40:03,USA,HIGH,1,LEFT,,HIGH
350 Asia,https://350asia.org,mediascopeAll/350_Asia.png,2026-06-03 17:40:57,USA,HIGH,1,LEFT,,HIGH
350 Australia,https://350.org.au,mediascopeAll/350_Australia.png,2026-06-03 17:41:12,USA,HIGH,1,LEFT,,HIGH
350 Pilipinas,https://world.350.org/philippines/,mediascopeAll/350_Pilipinas.png,2026-06-03 17:40:59,USA,HIGH,1,LEFT,,HIGH
350.org,https://350.org,mediascopeAll/350.org.png,2026-06-03 17:41:20,USA,HIGH,1,LEFT,,HIGH
350Africa.org,https://350africa.org,mediascopeAll/350Africa.org.png,2026-06-03 17:41:24,USA,HIGH,1,LEFT,,HIGH
9 News,https://www.9news.com.au/,mediascopeAll/9_News.png,2026-06-03 17:41:34,,HIGH,1,RIGHT-CENTER,,HIGH
A Voice for Men,http://www.avoiceformen.com,mediascopeAll/A_Voice_for_Men.png,2026-06-20 21:19:51,USA,LOW,,RIGHT,Questionable Source,LOW
ABC News Australia,https://abc.net.au,mediascopeAll/ABC_News_Australia.png,2026-06-03 17:41:58,,HIGH,1,LEFT-CENTER,,HIGH
ABC News/Washington Post Polling,https://langerresearch.com,mediascopeAll/ABC_News_Washington_Post_Polling.png,2026-06-03 17:41:47,,VERY HIGH,1,LEAST BIASED,,HIGH
ABQ Times,http://abqtimes.com,mediascopeAll/ABQ_Times.png,2026-06-20 19:41:06,USA,MIXED,,RIGHT-CENTER,Questionable Source,MIXED
