task,model,prompt,accuracy,macro_f1,n,VERY LOW_precision,VERY LOW_recall,VERY LOW_f1,VERY LOW_support,LOW_precision,LOW_recall,LOW_f1,LOW_support,MIXED_precision,MIXED_recall,MIXED_f1,MIXED_support,HIGH_precision,HIGH_recall,HIGH_f1,HIGH_support,VERY HIGH_precision,VERY HIGH_recall,VERY HIGH_f1,VERY HIGH_support
factuality,claude-sonnet-4-6,engineered,0.4573,0.4795,199,0.7647,0.2708,0.4,48,0.4043,0.4043,0.4043,47,0.325,0.5652,0.4127,46,0.587,0.5745,0.5806,47,0.6667,0.5455,0.6,11
factuality,claude-sonnet-4-6,simple,0.593,0.5808,199,0.7742,0.5,0.6076,48,0.5185,0.5957,0.5545,47,0.473,0.7609,0.5833,46,0.7714,0.5745,0.6585,47,0.8,0.3636,0.5,11
factuality,gemini-2-5-flash-lite,engineered,0.2462,0.1022,199,0.5,0.0208,0.04,48,0.25,0.0213,0.0392,47,0.2447,1.0,0.3932,46,0.2,0.0213,0.0385,47,0.0,0.0,0.0,11
factuality,gemini-2-5-flash-lite,simple,0.4322,0.4217,199,0.5122,0.4375,0.4719,48,0.28,0.2979,0.2887,47,0.3673,0.3913,0.3789,46,0.5556,0.6383,0.5941,47,0.6,0.2727,0.375,11
factuality,gemma-4-31b,engineered,0.3518,0.3657,199,0.6154,0.1667,0.2623,48,0.4,0.2553,0.3117,47,0.098,0.1087,0.1031,46,0.4086,0.8085,0.5429,47,0.5833,0.6364,0.6087,11
factuality,gemma-4-31b,simple,0.4221,0.3867,199,0.5,0.2917,0.3684,48,0.3933,0.7447,0.5147,47,0.4,0.087,0.1429,46,0.4219,0.5745,0.4865,47,0.5,0.3636,0.4211,11
factuality,gpt-5-5,engineered,0.5377,0.5301,199,0.8125,0.5417,0.65,48,0.5306,0.5532,0.5417,47,0.3636,0.3478,0.3556,46,0.5072,0.7447,0.6034,47,0.8,0.3636,0.5,11
factuality,gpt-5-5,simple,0.6784,0.5915,199,0.8529,0.6042,0.7073,48,0.5574,0.7234,0.6296,47,0.614,0.7609,0.6796,46,0.7826,0.766,0.7742,47,1.0,0.0909,0.1667,11
factuality,kimi-k2-6,engineered,0.3198,0.3349,197,0.5625,0.1915,0.2857,47,0.3077,0.0851,0.1333,47,0.2403,0.6889,0.3563,45,0.4286,0.3191,0.3659,47,1.0,0.3636,0.5333,11
factuality,kimi-k2-6,simple,0.599,0.5702,197,0.6,0.8936,0.7179,47,0.3962,0.4565,0.4242,46,0.6471,0.2391,0.3492,46,0.78,0.8298,0.8041,47,0.7143,0.4545,0.5556,11
factuality,qwen2-5-vl-72b,engineered,0.4523,0.4493,199,0.7143,0.7292,0.7216,48,0.6364,0.1489,0.2414,47,0.2429,0.3696,0.2931,46,0.4407,0.5532,0.4906,47,0.5556,0.4545,0.5,11
factuality,qwen2-5-vl-72b,simple,0.4874,0.4335,199,0.6833,0.8542,0.7593,48,0.0,0.0,0.0,47,0.2812,0.3913,0.3273,46,0.4857,0.7234,0.5812,47,0.8,0.3636,0.5,11
