task,dimension,model,prompt,accuracy,macro_f1,n,VERY LOW_precision,VERY LOW_recall,VERY LOW_f1,VERY LOW_support,LOW_precision,LOW_recall,LOW_f1,LOW_support,MIXED_precision,MIXED_recall,MIXED_f1,MIXED_support,HIGH_precision,HIGH_recall,HIGH_f1,HIGH_support,VERY HIGH_precision,VERY HIGH_recall,VERY HIGH_f1,VERY HIGH_support
joint,factuality,claude-sonnet-4-6,engineered,0.5729,0.5916,199,0.8333,0.4167,0.5556,48,0.4062,0.5532,0.4685,47,0.4727,0.5652,0.5149,46,0.7609,0.7447,0.7527,47,0.7,0.6364,0.6667,11
joint,factuality,claude-sonnet-4-6,simple,0.5377,0.5223,199,0.8125,0.5417,0.65,48,0.3793,0.4681,0.419,47,0.381,0.5217,0.4404,46,0.7805,0.6809,0.7273,47,0.6,0.2727,0.375,11
joint,factuality,gemini-2-5-flash-lite,engineered,0.392,0.3136,199,0.75,0.1875,0.3,48,0.383,0.383,0.383,47,0.3163,0.6739,0.4306,46,0.4878,0.4255,0.4545,47,0.0,0.0,0.0,11
joint,factuality,gemini-2-5-flash-lite,simple,0.4221,0.33,199,0.875,0.1458,0.25,48,0.42,0.4468,0.433,47,0.3117,0.5217,0.3902,46,0.5,0.6809,0.5766,47,0.0,0.0,0.0,11
joint,factuality,gemma-4-31b,engineered,0.392,0.394,199,0.5769,0.3125,0.4054,48,0.4839,0.3191,0.3846,47,0.1429,0.0652,0.0896,46,0.3482,0.8298,0.4906,47,0.6667,0.5455,0.6,11
joint,factuality,gemma-4-31b,simple,0.4221,0.3938,199,0.6667,0.25,0.3636,48,0.4189,0.6596,0.5124,47,0.2,0.0435,0.0714,46,0.3882,0.7021,0.5,47,0.5,0.5455,0.5217,11
joint,factuality,gpt-5-5,engineered,0.6131,0.58,199,0.6809,0.6667,0.6737,48,0.5217,0.2553,0.3429,47,0.5085,0.6522,0.5714,46,0.6667,0.9362,0.7788,47,1.0,0.3636,0.5333,11
joint,factuality,gpt-5-5,simple,0.5427,0.5203,199,0.7778,0.5833,0.6667,48,0.3056,0.4681,0.3697,47,0.3438,0.2391,0.2821,46,0.7857,0.9362,0.8544,47,1.0,0.2727,0.4286,11
joint,factuality,kimi-k2-6,engineered,0.427,0.4521,185,0.4872,0.413,0.4471,46,0.2857,0.1429,0.1905,42,0.3231,0.5122,0.3962,41,0.5185,0.6087,0.56,46,1.0,0.5,0.6667,10
joint,factuality,kimi-k2-6,simple,0.5679,0.574,162,0.7632,0.8286,0.7945,35,0.3696,0.4595,0.4096,37,0.3636,0.2927,0.3243,41,0.7838,0.725,0.7532,40,0.625,0.5556,0.5882,9
joint,factuality,qwen2-5-vl-72b,engineered,0.4623,0.4134,199,0.9375,0.3125,0.4688,48,0.459,0.5957,0.5185,47,0.2188,0.1522,0.1795,46,0.4545,0.8511,0.5926,47,1.0,0.1818,0.3077,11
joint,factuality,qwen2-5-vl-72b,simple,0.3869,0.3181,199,0.8333,0.1042,0.1852,48,0.2931,0.3617,0.3238,47,0.2931,0.3696,0.3269,46,0.5,0.7872,0.6116,47,0.3333,0.0909,0.1429,11
