task,dimension,model,prompt,accuracy,macro_f1,n,NOT FACTUAL_precision,NOT FACTUAL_recall,NOT FACTUAL_f1,NOT FACTUAL_support,FACTUAL_precision,FACTUAL_recall,FACTUAL_f1,FACTUAL_support
joint,trustworthiness,claude-sonnet-4-6,engineered,0.9095,0.8894,199,0.9301,0.9433,0.9366,141,0.8571,0.8276,0.8421,58
joint,trustworthiness,claude-sonnet-4-6,simple,0.9196,0.8959,199,0.9085,0.9858,0.9456,141,0.9565,0.7586,0.8462,58
joint,trustworthiness,gemini-2-5-flash-lite,engineered,0.7889,0.7195,199,0.8153,0.9078,0.8591,141,0.6905,0.5,0.58,58
joint,trustworthiness,gemini-2-5-flash-lite,simple,0.809,0.7754,199,0.8815,0.844,0.8623,141,0.6562,0.7241,0.6885,58
joint,trustworthiness,gemma-4-31b,engineered,0.6332,0.6294,199,0.9359,0.5177,0.6667,141,0.438,0.9138,0.5922,58
joint,trustworthiness,gemma-4-31b,simple,0.7035,0.6883,199,0.902,0.6525,0.7572,141,0.4948,0.8276,0.6194,58
joint,trustworthiness,gpt-5-5,engineered,0.8995,0.8848,199,0.969,0.8865,0.9259,141,0.7714,0.931,0.8438,58
joint,trustworthiness,gpt-5-5,simple,0.9548,0.9455,199,0.9714,0.9645,0.968,141,0.9153,0.931,0.9231,58
joint,trustworthiness,kimi-k2-6,engineered,0.7514,0.7138,185,0.832,0.8062,0.8189,129,0.5932,0.625,0.6087,56
joint,trustworthiness,kimi-k2-6,simple,0.9259,0.9101,162,0.9316,0.9646,0.9478,113,0.9111,0.8367,0.8723,49
joint,trustworthiness,qwen2-5-vl-72b,engineered,0.7688,0.7526,199,0.9358,0.7234,0.816,141,0.5667,0.8793,0.6892,58
joint,trustworthiness,qwen2-5-vl-72b,simple,0.8241,0.8038,199,0.9344,0.8085,0.8669,141,0.6494,0.8621,0.7407,58
