task,family,model,experiment,components,n_test,accuracy,macro_accuracy,macro_precision,macro_recall,macro_f1,mae,mse,label_mapping,source_file
factuality,OCR multimodal,majority,Majority class,predicts the majority train class for every row,559,52.41502683363149,33.33333333333333,17.471675611210493,33.33333333333333,22.926447574334897,0.4758497316636851,0.4758497316636851,LOW=-1; MIXED=0; HIGH=1,metrics.csv
factuality,OCR multimodal,full,Full,51 features + OCR expert + DINO knn15,559,81.9320214669052,83.08789468931742,78.53755981709426,83.08789468931742,79.98352740293166,0.2093023255813953,0.2665474060822898,LOW=-1; MIXED=0; HIGH=1,metrics.csv
factuality,OCR multimodal,no_ocr,Removed OCR,51 features + DINO knn15,559,75.84973166368515,75.73950672987876,72.11518910845264,75.73950672987876,73.08072773871143,0.29695885509839,0.407871198568873,LOW=-1; MIXED=0; HIGH=1,metrics.csv
factuality,OCR multimodal,no_features,Removed 51 features,OCR expert + DINO knn15,559,81.03756708407872,81.87192671368472,77.4864561682876,81.8719267136847,78.83005864699606,0.221824686940966,0.2862254025044722,LOW=-1; MIXED=0; HIGH=1,metrics.csv
factuality,OCR multimodal,ocr_only,Only OCR,OCR expert only,559,81.03756708407872,81.71410154451586,77.43516350073727,81.71410154451586,78.76053919209318,0.2271914132379248,0.3023255813953488,LOW=-1; MIXED=0; HIGH=1,metrics.csv
factuality,OCR multimodal,dino_only,Only DINOv2,DINO knn15 only,559,69.05187835420394,67.5731714465702,65.05604265526094,67.5731714465702,65.25137304604985,0.4221824686940966,0.6475849731663685,LOW=-1; MIXED=0; HIGH=1,metrics.csv
factuality,OCR multimodal,features_only,Only 51 features,51 compact features only,559,74.59749552772809,73.56995512235657,70.62187325345221,73.56995512235657,71.58210751866754,0.3076923076923077,0.4150268336314848,LOW=-1; MIXED=0; HIGH=1,metrics.csv
factuality,OCR text-only,text_only_llm,Text-only LLM,fine-tuned distilbert-base-uncased on OCR text (max_len=512); text_only_llm_model_input_dedup_v1,559,76.20751341681574,77.5218139203072,73.125147667929,77.5218139203072,73.69547474637453,0.3023255813953488,0.4311270125223613,LOW=-1; MIXED=0; HIGH=1,text_only_llm_metrics.csv
factuality,Group A/C,majority,Majority class,predicts the majority svm_train class,559,52.41502683363149,33.33333333333333,17.471675611210493,33.33333333333333,22.926447574334897,0.4758497316636851,0.4758497316636851,LOW=-1; MIXED=0; HIGH=1,mgm_groupA_factuality.csv
factuality,Group A/C,nela,Articles: NELA,"SVM(rbf) on nela [87d], cv_f1=0.672, gamma=1, C=10",559,70.6618962432916,65.29037038074121,68.75106043639079,65.29037038074121,66.66346265608325,0.332737030411449,0.4114490161001788,LOW=-1; MIXED=0; HIGH=1,mgm_groupA_factuality.csv
factuality,Group A/C,bert_repr,Articles: BERT representations,"SVM(rbf) on bert_repr [768d], cv_f1=0.706, gamma=0.001, C=1e+02",559,76.74418604651163,73.27005901685526,75.06450270495215,73.27005901685526,74.0453090982616,0.2540250447227191,0.29695885509839,LOW=-1; MIXED=0; HIGH=1,mgm_groupA_factuality.csv
factuality,Group A/C,bert_prob,Articles: BERT probabilities,"SVM(rbf) on bert_prob [2d], cv_f1=0.467, gamma=10, C=1e+02",559,57.42397137745975,49.485608034545606,40.73329853862213,49.485608034545606,43.56724270468318,0.4293381037567084,0.4364937388193202,LOW=-1; MIXED=0; HIGH=1,mgm_groupA_factuality.csv
factuality,Group A/C,all_concat,Articles: ALL (c),"SVM(rbf) on concatenated nela+bert_repr+bert_prob [857d], cv_f1=0.727",559,77.6386404293381,74.07562498448796,75.74039603382364,74.07562498448796,74.8073049063148,0.2468694096601073,0.293381037567084,LOW=-1; MIXED=0; HIGH=1,mgm_groupA_factuality.csv
factuality,Group A/C,all_ensemble,Articles: ALL (en),"posterior ensemble of nela+bert_repr+bert_prob, weights=CV macro-F1",559,76.38640429338103,73.53976186642687,75.16981512596875,73.53976186642687,74.20080726594136,0.2522361359570662,0.2844364937388193,LOW=-1; MIXED=0; HIGH=1,mgm_groupA_factuality.csv
factuality,Group A/C,wiki,Wikipedia: BERT,"SVM(rbf) on wiki [768d], cv_f1=0.536, gamma=0.01, C=10",559,67.79964221824687,53.628674287670734,68.42282593275642,53.62867428767074,54.51477794735163,0.330948121645796,0.3488372093023256,LOW=-1; MIXED=0; HIGH=1,mgm_groupA_factuality.csv
factuality,Group A/C,articles_wiki_concat,Articles+Wikipedia (c),"SVM(rbf) on concatenated nela+bert_repr+bert_prob+wiki [1625d], cv_f1=0.749",559,80.50089445438283,78.46859523083735,78.08649564243369,78.46859523083735,78.24323594297286,0.2093023255813953,0.2379248658318425,LOW=-1; MIXED=0; HIGH=1,mgm_groupA_factuality.csv
factuality,Group A/C,articles_wiki_ensemble,Articles+Wikipedia (en),"posterior ensemble of nela+bert_repr+bert_prob+wiki, weights=CV macro-F1",559,77.28085867620752,72.08033866792304,77.98038723660339,72.08033866792304,74.27340769038598,0.2379248658318425,0.259391771019678,LOW=-1; MIXED=0; HIGH=1,mgm_groupA_factuality.csv
