model,experiment,label,precision,recall,f1-score,support
full,Full,LOW,0.5448275862068965,0.8494623655913979,0.6638655462184874,93.0
full,Full,MIXED,0.9515418502202643,0.7322033898305085,0.8275862068965517,295.0
full,Full,HIGH,0.798941798941799,0.8728323699421965,0.8342541436464088,173.0
no_ocr,Removed OCR,LOW,0.487012987012987,0.8064516129032258,0.6072874493927125,93.0
no_ocr,Removed OCR,MIXED,0.9767441860465116,0.711864406779661,0.8235294117647058,295.0
no_ocr,Removed OCR,HIGH,0.734375,0.815028901734104,0.7726027397260274,173.0
no_features,Removed 51 features,LOW,0.5734265734265734,0.8817204301075269,0.6949152542372882,93.0
no_features,Removed 51 features,MIXED,0.9482758620689655,0.7457627118644068,0.8349146110056926,295.0
no_features,Removed 51 features,HIGH,0.8118279569892473,0.8728323699421965,0.841225626740947,173.0
ocr_only,Only OCR,LOW,0.5886524822695035,0.8924731182795699,0.7094017094017094,93.0
ocr_only,Only OCR,MIXED,0.948936170212766,0.7559322033898305,0.8415094339622642,295.0
ocr_only,Only OCR,HIGH,0.8108108108108109,0.8670520231213873,0.8379888268156425,173.0
dino_only,Only DINOv2,LOW,0.410958904109589,0.6451612903225806,0.502092050209205,93.0
dino_only,Only DINOv2,MIXED,0.8927038626609443,0.7050847457627119,0.7878787878787878,295.0
dino_only,Only DINOv2,HIGH,0.6428571428571429,0.6763005780346821,0.6591549295774648,173.0
features_only,Only 51 features,LOW,0.47096774193548385,0.7849462365591398,0.5887096774193549,93.0
features_only,Only 51 features,MIXED,0.9678899082568807,0.7152542372881356,0.8226120857699805,295.0
features_only,Only 51 features,HIGH,0.7287234042553191,0.791907514450867,0.7590027700831025,173.0
