model,experiment,label,precision,recall,f1-score,support
majority,Majority class,left,0.0,0.0,0.0,38.0
majority,Majority class,left-center,0.0,0.0,0.0,77.0
majority,Majority class,center,0.0,0.0,0.0,74.0
majority,Majority class,right-center,0.3981981981981982,1.0,0.5695876288659794,221.0
majority,Majority class,right,0.0,0.0,0.0,145.0
full,Full,left,0.36,0.7105263157894737,0.4778761061946903,38.0
full,Full,left-center,0.5632183908045977,0.6363636363636364,0.5975609756097561,77.0
full,Full,center,0.7323943661971831,0.7027027027027027,0.7172413793103448,74.0
full,Full,right-center,0.9893617021276596,0.8416289592760181,0.9095354523227384,221.0
full,Full,right,0.8880597014925373,0.8206896551724138,0.8530465949820788,145.0
no_ocr,Removed OCR,left,0.17777777777777778,0.42105263157894735,0.25,38.0
no_ocr,Removed OCR,left-center,0.5053763440860215,0.6103896103896104,0.5529411764705883,77.0
no_ocr,Removed OCR,center,0.7586206896551724,0.5945945945945946,0.6666666666666666,74.0
no_ocr,Removed OCR,right-center,1.0,0.8371040723981901,0.9113300492610837,221.0
no_ocr,Removed OCR,right,0.7441860465116279,0.6620689655172414,0.7007299270072993,145.0
no_features,Removed 51 features,left,0.352112676056338,0.6578947368421053,0.45871559633027525,38.0
no_features,Removed 51 features,left-center,0.5909090909090909,0.6753246753246753,0.6303030303030303,77.0
no_features,Removed 51 features,center,0.7222222222222222,0.7027027027027027,0.7123287671232876,74.0
no_features,Removed 51 features,right-center,0.9894179894179894,0.8461538461538461,0.9121951219512195,221.0
no_features,Removed 51 features,right,0.8888888888888888,0.8275862068965517,0.8571428571428571,145.0
ocr_only,Only OCR,left,0.36619718309859156,0.6842105263157895,0.47706422018348627,38.0
ocr_only,Only OCR,left-center,0.5833333333333334,0.6363636363636364,0.6086956521739131,77.0
ocr_only,Only OCR,center,0.72,0.7297297297297297,0.7248322147651006,74.0
ocr_only,Only OCR,right-center,0.9947368421052631,0.8552036199095022,0.9197080291970803,221.0
ocr_only,Only OCR,right,0.8888888888888888,0.8275862068965517,0.8571428571428571,145.0
dino_only,Only DINOv2,left,0.10666666666666667,0.21052631578947367,0.1415929203539823,38.0
dino_only,Only DINOv2,left-center,0.47435897435897434,0.4805194805194805,0.4774193548387097,77.0
dino_only,Only DINOv2,center,0.4722222222222222,0.4594594594594595,0.4657534246575342,74.0
dino_only,Only DINOv2,right-center,0.9476439790575916,0.8190045248868778,0.8786407766990292,221.0
dino_only,Only DINOv2,right,0.6115107913669064,0.5862068965517241,0.5985915492957746,145.0
features_only,Only 51 features,left,0.20202020202020202,0.5263157894736842,0.291970802919708,38.0
features_only,Only 51 features,left-center,0.5108695652173914,0.6103896103896104,0.5562130177514792,77.0
features_only,Only 51 features,center,0.7419354838709677,0.6216216216216216,0.6764705882352942,74.0
features_only,Only 51 features,right-center,0.9893048128342246,0.8371040723981901,0.9068627450980392,221.0
features_only,Only 51 features,right,0.808695652173913,0.6413793103448275,0.7153846153846154,145.0
