task,class,rank,term,weight
factuality,LOW,1,truth,1.537938
factuality,LOW,2,pravda,1.425576
factuality,LOW,3,conservative,1.379078
factuality,LOW,4,christian,1.335561
factuality,LOW,5,videos,1.195927
factuality,LOW,6,com,1.172342
factuality,LOW,7,again,1.127248
factuality,LOW,8,like,1.110718
factuality,LOW,9,casino,1.104928
factuality,LOW,10,vaccine,1.096176
factuality,LOW,11,https,1.064970
factuality,LOW,12,articles,1.045625
factuality,LOW,13,ton,1.027300
factuality,LOW,14,buepa,1.026092
factuality,LOW,15,caught,1.020372
factuality,LOW,16,views,0.986564
factuality,LOW,17,deep,0.985518
factuality,LOW,18,show,0.982400
factuality,LOW,19,tries,0.975416
factuality,LOW,20,gender,0.951198
factuality,LOW,21,birth,0.940533
factuality,LOW,22,bombshell,0.936900
factuality,LOW,23,freedom,0.921929
factuality,LOW,24,web,0.921533
factuality,LOW,25,ukraine,0.917387
factuality,MIXED,1,fears,1.198690
factuality,MIXED,2,terror,1.131436
factuality,MIXED,3,tiktok,0.946087
factuality,MIXED,4,jun,0.903293
factuality,MIXED,5,real,0.891934
factuality,MIXED,6,wire,0.862144
factuality,MIXED,7,old,0.853914
factuality,MIXED,8,rare,0.816207
factuality,MIXED,9,solo,0.807034
factuality,MIXED,10,fraud,0.802970
factuality,MIXED,11,fees,0.796963
factuality,MIXED,12,us-iran,0.790784
factuality,MIXED,13,venezuela,0.785563
factuality,MIXED,14,easy,0.772343
factuality,MIXED,15,tax,0.769551
factuality,MIXED,16,labor,0.764248
factuality,MIXED,17,model,0.760740
factuality,MIXED,18,business daily,0.748815
factuality,MIXED,19,bcy,0.746610
factuality,MIXED,20,university,0.727985
factuality,MIXED,21,kansas,0.724688
factuality,MIXED,22,daily,0.724590
factuality,MIXED,23,british,0.723018
factuality,MIXED,24,announces,0.716306
factuality,MIXED,25,receive,0.704677
factuality,HIGH,1,democracy,1.497952
factuality,HIGH,2,newsletters,1.327489
factuality,HIGH,3,climate,1.293436
factuality,HIGH,4,editors,1.177898
factuality,HIGH,5,may,1.172284
factuality,HIGH,6,fact check,1.143327
factuality,HIGH,7,podcasts,1.131652
factuality,HIGH,8,ago,1.111216
factuality,HIGH,9,public,1.110011
factuality,HIGH,10,advertise,1.068663
factuality,HIGH,11,fund,1.048290
factuality,HIGH,12,car,1.046417
factuality,HIGH,13,our,1.034130
factuality,HIGH,14,sponsored,0.996401
factuality,HIGH,15,analysis,0.983627
factuality,HIGH,16,popular,0.955501
factuality,HIGH,17,than,0.927947
factuality,HIGH,18,access,0.912022
factuality,HIGH,19,our work,0.905322
factuality,HIGH,20,build,0.886931
factuality,HIGH,21,nonprofit,0.881944
factuality,HIGH,22,more,0.881307
factuality,HIGH,23,community,0.875434
factuality,HIGH,24,obituaries,0.872813
factuality,HIGH,25,strikes,0.859383
