task,model,prompt,accuracy,macro_f1,n,VERY LOW_precision,VERY LOW_recall,VERY LOW_f1,VERY LOW_support,LOW_precision,LOW_recall,LOW_f1,LOW_support,HIGH_precision,HIGH_recall,HIGH_f1,HIGH_support,VERY HIGH_precision,VERY HIGH_recall,VERY HIGH_f1,VERY HIGH_support
factuality,claude-sonnet-4-6,engineered,0.7136,0.6556,199,0.8095,0.34,0.4789,50,0.4941,0.8571,0.6269,49,0.9059,0.8652,0.8851,89,0.75,0.5455,0.6316,11
factuality,claude-sonnet-4-6,simple,0.7121,0.6271,198,0.7561,0.6327,0.6889,49,0.5,0.7755,0.608,49,0.9079,0.7753,0.8364,89,0.6,0.2727,0.375,11
factuality,gemini-2-5-flash-lite,engineered,0.62,0.3596,200,0.0,0.0,0.0,50,0.4356,0.88,0.5828,50,0.8163,0.8989,0.8556,89,0.0,0.0,0.0,11
factuality,gemini-2-5-flash-lite,simple,0.5,0.46,200,0.459,0.56,0.5045,50,0.3676,0.5,0.4237,50,0.8571,0.4719,0.6087,89,0.2273,0.4545,0.303,11
factuality,gemma-4-31b,engineered,0.75,0.5,4,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,1.0,1.0,2,1.0,1.0,1.0,1
factuality,gemma-4-31b,simple,0.565,0.4934,200,0.6154,0.16,0.254,50,0.3974,0.62,0.4844,50,0.7083,0.764,0.7351,89,0.4615,0.5455,0.5,11
factuality,gpt-5-5,engineered,0.7563,0.7057,197,0.6667,0.5833,0.6222,48,0.5574,0.68,0.6126,50,0.9213,0.9213,0.9213,89,1.0,0.5,0.6667,10
factuality,gpt-5-5,simple,0.8,0.696,200,0.7358,0.78,0.7573,50,0.68,0.68,0.68,50,0.8936,0.9438,0.918,89,1.0,0.2727,0.4286,11
factuality,kimi-k2-6,simple,0.7688,0.6595,199,0.6923,0.9184,0.7895,49,0.6591,0.58,0.617,50,0.9048,0.8539,0.8786,89,0.5,0.2727,0.3529,11
factuality,qwen2-5-vl-72b,engineered,0.7136,0.675,199,0.6491,0.74,0.6916,50,0.5345,0.62,0.5741,50,0.9067,0.7727,0.8344,88,0.6667,0.5455,0.6,11
factuality,qwen2-5-vl-72b,simple,0.64,0.5296,200,0.5902,0.72,0.6486,50,0.4194,0.26,0.321,50,0.7451,0.8539,0.7958,89,0.5,0.2727,0.3529,11
