task,dimension,model,prompt,accuracy,macro_f1,n,LEFT_precision,LEFT_recall,LEFT_f1,LEFT_support,LEFT-CENTER_precision,LEFT-CENTER_recall,LEFT-CENTER_f1,LEFT-CENTER_support,LEAST BIASED_precision,LEAST BIASED_recall,LEAST BIASED_f1,LEAST BIASED_support,RIGHT-CENTER_precision,RIGHT-CENTER_recall,RIGHT-CENTER_f1,RIGHT-CENTER_support,RIGHT_precision,RIGHT_recall,RIGHT_f1,RIGHT_support
joint,bias,claude-sonnet-4-6,engineered,0.5829,0.4375,199,0.75,0.3333,0.4615,9,0.3333,0.1622,0.2182,37,0.413,0.95,0.5758,40,0.125,0.125,0.125,16,0.971,0.6907,0.8072,97
joint,bias,claude-sonnet-4-6,simple,0.6533,0.461,199,0.4615,0.6667,0.5455,9,0.25,0.0541,0.0889,37,0.4353,0.925,0.592,40,0.25,0.125,0.1667,16,0.9765,0.8557,0.9121,97
joint,bias,gemini-2-5-flash-lite,engineered,0.2487,0.1415,197,0.0,0.0,0.0,9,0.25,0.027,0.0488,37,0.2671,1.0,0.4216,39,0.0952,0.25,0.1379,16,1.0,0.0521,0.099,96
joint,bias,gemini-2-5-flash-lite,simple,0.35,0.2625,200,0.5,0.1111,0.1818,9,0.2857,0.1081,0.1569,37,0.3361,1.0,0.5031,40,0.075,0.1875,0.1071,16,0.9565,0.2245,0.3636,98
joint,bias,gemma-4-31b,engineered,0.41,0.275,200,0.2857,0.2222,0.25,9,0.25,0.027,0.0488,37,0.2969,0.95,0.4524,40,0.0588,0.0625,0.0606,16,0.9091,0.4082,0.5634,98
joint,bias,gemma-4-31b,simple,0.515,0.3558,200,0.3571,0.5556,0.4348,9,0.5,0.027,0.0513,37,0.3303,0.9,0.4832,40,0.1667,0.0625,0.0909,16,0.8696,0.6122,0.7186,98
joint,bias,gpt-5-5,engineered,0.525,0.3992,200,0.5,0.3333,0.4,9,0.4444,0.1081,0.1739,37,0.3482,0.975,0.5132,40,0.1765,0.1875,0.1818,16,1.0,0.5714,0.7273,98
joint,bias,gpt-5-5,simple,0.675,0.4886,200,0.5,0.5556,0.5263,9,0.3846,0.1351,0.2,37,0.4353,0.925,0.592,40,0.5,0.125,0.2,16,0.9773,0.8776,0.9247,98
joint,bias,kimi-k2-6,engineered,0.75,0.36,4,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.6667,1.0,0.8,2,0.0,0.0,0.0,0,1.0,1.0,1.0,1
joint,bias,kimi-k2-6,simple,0.6935,0.4855,199,0.4286,0.3333,0.375,9,0.4545,0.1351,0.2083,37,0.4405,0.925,0.5968,40,0.75,0.1875,0.3,16,0.9677,0.9278,0.9474,97
joint,bias,qwen2-5-vl-72b,engineered,0.515,0.3631,200,0.3333,0.2222,0.2667,9,0.4286,0.2432,0.3103,37,0.375,0.9,0.5294,40,0.0,0.0,0.0,16,0.9333,0.5714,0.7089,98
joint,bias,qwen2-5-vl-72b,simple,0.615,0.3978,200,0.25,0.1111,0.1538,9,0.4167,0.1351,0.2041,37,0.4091,0.9,0.5625,40,0.2308,0.1875,0.2069,16,0.9398,0.7959,0.8619,98
