axis,model,prompt,accuracy_isolated,accuracy_joint,macro_f1_isolated,macro_f1_joint,n_isolated,n_joint,accuracy_delta,macro_f1_delta
binary,claude-sonnet-4-6,simple,,0.9447,,0.9447,,199.0,,
binary,gemini-2-5-flash-lite,simple,,0.865,,0.8635,,200.0,,
binary,gemma-4-31b,simple,,0.775,,0.7748,,200.0,,
binary,gpt-5-5,simple,,0.97,,0.97,,200.0,,
binary,kimi-k2-6,simple,,0.9849,,0.9849,,199.0,,
binary,qwen2-5-vl-72b,simple,,0.905,,0.905,,200.0,,
factuality,claude-sonnet-4-6,simple,0.7121,0.7487,0.6271,0.6973,198.0,199.0,0.0366,0.0702
factuality,gemini-2-5-flash-lite,simple,0.5,0.63,0.46,0.5402,200.0,200.0,0.13,0.0802
factuality,gemma-4-31b,simple,0.565,0.51,0.4934,0.4338,200.0,200.0,-0.055,-0.0596
factuality,gpt-5-5,simple,0.8,0.77,0.696,0.6557,200.0,200.0,-0.03,-0.0403
factuality,kimi-k2-6,simple,0.7688,0.7789,0.6595,0.6707,199.0,199.0,0.0101,0.0112
factuality,qwen2-5-vl-72b,simple,0.64,0.62,0.5296,0.4505,200.0,200.0,-0.02,-0.0791
genre,claude-sonnet-4-6,simple,0.7538,0.7136,0.6309,0.5642,199.0,199.0,-0.0402,-0.0667
genre,gemini-2-5-flash-lite,simple,0.57,0.535,0.2899,0.2071,200.0,200.0,-0.035,-0.0828
genre,gemma-4-31b,simple,0.625,0.53,0.4486,0.3263,200.0,200.0,-0.095,-0.1223
genre,gpt-5-5,simple,0.765,0.75,0.648,0.5951,200.0,200.0,-0.015,-0.0529
genre,kimi-k2-6,simple,0.803,0.7337,0.7404,0.6451,198.0,199.0,-0.0693,-0.0953
genre,qwen2-5-vl-72b,simple,0.705,0.69,0.5533,0.4841,200.0,200.0,-0.015,-0.0692
bias,claude-sonnet-4-6,simple,0.5859,0.6533,0.4466,0.461,198.0,199.0,0.0674,0.0144
bias,gemini-2-5-flash-lite,simple,0.24,0.35,0.1563,0.2625,200.0,200.0,0.11,0.1062
bias,gemma-4-31b,simple,0.485,0.515,0.3286,0.3558,200.0,200.0,0.03,0.0272
bias,gpt-5-5,simple,0.575,0.675,0.4487,0.4886,200.0,200.0,0.1,0.0399
bias,kimi-k2-6,simple,0.64,0.6935,0.4428,0.4855,200.0,199.0,0.0535,0.0427
bias,qwen2-5-vl-72b,simple,0.51,0.615,0.3508,0.3978,200.0,200.0,0.105,0.047
