task,model,prompt,accuracy,macro_f1,n,LEFT_precision,LEFT_recall,LEFT_f1,LEFT_support,LEFT-CENTER_precision,LEFT-CENTER_recall,LEFT-CENTER_f1,LEFT-CENTER_support,LEAST BIASED_precision,LEAST BIASED_recall,LEAST BIASED_f1,LEAST BIASED_support,RIGHT-CENTER_precision,RIGHT-CENTER_recall,RIGHT-CENTER_f1,RIGHT-CENTER_support,RIGHT_precision,RIGHT_recall,RIGHT_f1,RIGHT_support
bias,claude-sonnet-4-6,engineered,0.4925,0.3832,199,0.3571,0.5556,0.4348,9,0.1818,0.1081,0.1356,37,0.3977,0.875,0.5469,40,0.0909,0.125,0.1053,16,0.9811,0.5361,0.6933,97
bias,claude-sonnet-4-6,simple,0.5859,0.4466,198,0.5,0.6667,0.5714,9,0.2105,0.1081,0.1429,37,0.3951,0.8,0.5289,40,0.1667,0.125,0.1429,16,0.973,0.75,0.8471,96
bias,gemini-2-5-flash-lite,engineered,0.305,0.2199,200,0.0,0.0,0.0,9,0.4667,0.1892,0.2692,37,0.375,0.975,0.5417,40,0.0435,0.1875,0.0706,16,1.0,0.1224,0.2182,98
bias,gemini-2-5-flash-lite,simple,0.24,0.1563,200,0.0,0.0,0.0,9,0.2222,0.1081,0.1455,37,0.3611,0.975,0.527,40,0.0423,0.1875,0.069,16,1.0,0.0204,0.04,98
bias,gemma-4-31b,engineered,0.4127,0.268,63,0.2,0.5,0.2857,2,0.0,0.0,0.0,13,0.2903,0.9,0.439,10,0.0,0.0,0.0,2,1.0,0.4444,0.6154,36
bias,gemma-4-31b,simple,0.485,0.3286,200,0.25,0.2222,0.2353,9,0.5,0.1081,0.1778,37,0.3162,0.925,0.4713,40,0.125,0.0625,0.0833,16,0.8983,0.5408,0.6752,98
bias,gpt-5-5,engineered,0.4848,0.4136,198,0.5714,0.4444,0.5,9,0.4118,0.1944,0.2642,36,0.3913,0.9231,0.5496,39,0.0833,0.1875,0.1154,16,1.0,0.4694,0.6389,98
bias,gpt-5-5,simple,0.575,0.4487,200,0.75,0.3333,0.4615,9,0.5,0.1892,0.2745,37,0.4043,0.95,0.5672,40,0.125,0.1875,0.15,16,1.0,0.6531,0.7901,98
bias,kimi-k2-6,simple,0.64,0.4428,200,0.5,0.3333,0.4,9,0.4444,0.1081,0.1739,37,0.4021,0.975,0.5693,40,0.3333,0.125,0.1818,16,0.9756,0.8163,0.8889,98
bias,qwen2-5-vl-72b,engineered,0.38,0.2526,200,0.0,0.0,0.0,9,0.2222,0.1622,0.1875,37,0.3725,0.95,0.5352,40,0.05,0.125,0.0714,16,1.0,0.3061,0.4688,98
bias,qwen2-5-vl-72b,simple,0.51,0.3508,200,0.25,0.3333,0.2857,9,0.3125,0.1351,0.1887,37,0.3913,0.9,0.5455,40,0.0,0.0,0.0,16,0.9667,0.5918,0.7342,98
