media_name,url,image_path,timestamp,country,factuality,trustworthiness
21st Century Wire,https://21stcenturywire.com,sample_snapshots_mixed/21st_Century_Wire_20260608_163823.png,2026-06-11 15:26:41,USA,MIXED,
ABC News/Washington Post Polling,https://langerresearch.com,sample_snapshots_mixed/ABC_News_Washington_Post_Polling.png,2026-06-11 15:26:41,,VERY HIGH,1
ABQ Times,https://abqtimes.com,sample_snapshots_mixed/ABQ_Times_20260608_163935.png,2026-06-11 15:26:41,USA,MIXED,
Adams.News,https://adams.news,sample_snapshots_mixed/Adams.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Addiction.News,https://addiction.news,sample_snapshots_mixed/Addiction.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Alan Guttmacher Institute,https://guttmacher.org,sample_snapshots_mixed/Alan_Guttmacher_Institute.png,2026-06-11 15:26:41,USA,HIGH,1
Alliance Defending Freedom,https://adflegal.org,sample_snapshots_mixed/Alliance_Defending_Freedom.png,2026-06-11 15:26:41,USA,LOW,0
Aluminum.News,https://aluminum.news,sample_snapshots_mixed/Aluminum.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
America First Legal,https://aflegal.org,sample_snapshots_mixed/America_First_Legal.png,2026-06-11 15:26:41,USA,LOW,0
American Intelligence Media,https://aim4truth.org,sample_snapshots_mixed/American_Intelligence_Media.png,2026-06-11 15:26:41,USA,VERY LOW,0
"American Society for the Defense of Tradition, Family, and Property",https://tfp.org,sample_snapshots_mixed/American_Society_for_the_Defense_of_Tradition_Family_and_Property.png,2026-06-11 15:26:41,USA,LOW,0
American Thinker,https://americanthinker.com,sample_snapshots_mixed/American_Thinker.png,2026-06-11 15:26:41,USA,LOW,0
Americans for Truth,https://americansfortruth.com,sample_snapshots_mixed/Americans_for_Truth.png,2026-06-11 15:26:41,USA,VERY LOW,0
Anne Arundel Today,https://annearundeltoday.com,sample_snapshots_mixed/Anne_Arundel_Today_20260608_165054.png,2026-06-11 15:26:41,USA,MIXED,
Answers in Genesis,https://answersingenesis.org,sample_snapshots_mixed/Answers_in_Genesis.png,2026-06-11 15:26:41,USA,LOW,0
Anti-War,https://antiwar.com,sample_snapshots_mixed/Anti-War_20260608_165124.png,2026-06-11 15:26:41,USA,MIXED,
Antioxidants.News,https://antioxidants.news,sample_snapshots_mixed/Antioxidants.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Argus Leader,https://argusleader.com,sample_snapshots_mixed/Argus_Leader.png,2026-06-11 15:26:41,USA,HIGH,1
Arizona Daily Sun,https://azdailysun.com,sample_snapshots_mixed/Arizona_Daily_Sun.png,2026-06-11 15:26:41,USA,HIGH,1
Armed Forces Press,https://armedforces.press,sample_snapshots_mixed/Armed_Forces_Press.png,2026-06-11 15:26:41,USA,LOW,0
Asian News International,https://aninews.in,sample_snapshots_mixed/Asian_News_International_20260608_165312.png,2026-06-11 15:26:41,,MIXED,
Australian National Review,https://australiannationalreview.com,sample_snapshots_mixed/Australian_National_Review.png,2026-06-11 15:26:41,,LOW,0
Awakening.News,https://awakening.news,sample_snapshots_mixed/Awakening.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Ballotpedia,https://ballotpedia.org,sample_snapshots_mixed/Ballotpedia.png,2026-06-11 15:26:41,USA,VERY HIGH,1
Banned.News,https://banned.news,sample_snapshots_mixed/Banned.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Bare Naked Islam,https://barenakedislam.com,sample_snapshots_mixed/Bare_Naked_Islam.png,2026-06-11 15:26:41,USA,LOW,0
Being Liberal,https://beingliberal.org,sample_snapshots_mixed/Being_Liberal_20260608_170114.png,2026-06-11 15:26:41,USA,MIXED,
Benzinga,https://benzinga.com,sample_snapshots_mixed/Benzinga.png,2026-06-11 15:26:41,USA,HIGH,1
Biased.News,https://biased.news,sample_snapshots_mixed/Biased.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Big Government News,https://biggovernment.news,sample_snapshots_mixed/Big_Government_News.png,2026-06-11 15:26:41,USA,VERY LOW,0
BillionBibles.org,https://billionbibles.org,sample_snapshots_mixed/BillionBibles.org.png,2026-06-11 15:26:41,USA,VERY LOW,0
Bioterrorism.News,https://bioterrorism.news,sample_snapshots_mixed/Bioterrorism.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Bloomington Leader,https://bloomingtonleader.com,sample_snapshots_mixed/Bloomington_Leader_20260608_170637.png,2026-06-11 15:26:41,USA,MIXED,
Borgen Project,https://borgenproject.org,sample_snapshots_mixed/Borgen_Project.png,2026-06-11 15:26:41,USA,HIGH,1
Boston Review,https://bostonreview.net,sample_snapshots_mixed/Boston_Review.png,2026-06-11 15:26:41,USA,HIGH,1
C-StoreDive,https://cstoredive.com,sample_snapshots_mixed/C-StoreDive.png,2026-06-11 15:26:41,USA,HIGH,1
CDC.News,https://cdc.news,sample_snapshots_mixed/CDC.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
CNET,https://cnet.com,sample_snapshots_mixed/CNET.png,2026-06-11 15:26:41,USA,HIGH,1
CaliforniaCollapse.News,https://californiacollapse.news,sample_snapshots_mixed/CaliforniaCollapse.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Canberra Declaration,https://canberradeclaration.org.au,sample_snapshots_mixed/Canberra_Declaration.png,2026-06-11 15:26:41,,LOW,0
Capitol Fax,https://capitolfax.com,sample_snapshots_mixed/Capitol_Fax.png,2026-06-11 15:26:41,USA,HIGH,1
Catholic Tribune - Florida,https://flcatholictribune.com,sample_snapshots_mixed/Catholic_Tribune_-_Florida_20260608_172608.png,2026-06-11 15:26:41,USA,MIXED,
Censored.news,https://censored.news,sample_snapshots_mixed/Censored.news.png,2026-06-11 15:26:41,USA,LOW,0
Censorship.News,https://censorship.news,sample_snapshots_mixed/Censorship.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Center for Immigration Studies,https://cis.org,sample_snapshots_mixed/Center_for_Immigration_Studies.png,2026-06-11 15:26:41,USA,LOW,0
Center for Strategic and International studies,https://csis.org,sample_snapshots_mixed/Center_for_Strategic_and_International_studies.png,2026-06-11 15:26:41,USA,VERY HIGH,1
Central Kentucky News-Journal,https://pmg-ky2.com/cknj/,sample_snapshots_mixed/Central_Kentucky_News-Journal.png,2026-06-11 15:26:41,USA,HIGH,1
Christian Science,https://christianscience.com,sample_snapshots_mixed/Christian_Science.png,2026-06-11 15:26:41,USA,LOW,0
Christian Truth Center,https://christiantruthcenter.com,sample_snapshots_mixed/Christian_Truth_Center.png,2026-06-11 15:26:41,,VERY LOW,0
CitizenGo,https://citizengo.org,sample_snapshots_mixed/CitizenGo.png,2026-06-11 15:26:41,,LOW,0
ClimateScienceNews,https://climatesciencenews.com,sample_snapshots_mixed/ClimateScienceNews.png,2026-06-11 15:26:41,USA,VERY LOW,0
Colorado Free Press,https://coloradofreepress.com,sample_snapshots_mixed/Colorado_Free_Press.png,2026-06-11 15:26:41,USA,LOW,0
CommonWealth fund,https://commonwealthfund.org,sample_snapshots_mixed/CommonWealth_fund.png,2026-06-11 15:26:41,USA,HIGH,1
Communist Party USA,https://cpusa.org,sample_snapshots_mixed/Communist_Party_USA_20260608_173950.png,2026-06-11 15:26:41,USA,MIXED,
Concerned Women for America,https://concernedwomen.org,sample_snapshots_mixed/Concerned_Women_for_America.png,2026-06-11 15:26:41,USA,LOW,0
Conscious Life News,https://consciouslifenews.com,sample_snapshots_mixed/Conscious_Life_News_20260608_174209.png,2026-06-11 15:26:41,USA,MIXED,
Conservative Free Press,https://conservativefreepress.com,sample_snapshots_mixed/Conservative_Free_Press.png,2026-06-11 15:26:41,USA,LOW,0
Conspiracy Daily Update,https://conspiracydailyupdate.com,sample_snapshots_mixed/Conspiracy_Daily_Update.png,2026-06-11 15:26:41,,VERY LOW,0
ConstructionDive,https://constructiondive.com,sample_snapshots_mixed/ConstructionDive.png,2026-06-11 15:26:41,USA,HIGH,1
Covid Call to Humanity,https://covidcalltohumanity.org,sample_snapshots_mixed/Covid_Call_to_Humanity.png,2026-06-11 15:26:41,,VERY LOW,0
Crains Detroit,https://crainsdetroit.com,sample_snapshots_mixed/Crains_Detroit.png,2026-06-11 15:26:41,USA,HIGH,1
Creation Ministries International,https://creation.com,sample_snapshots_mixed/Creation_Ministries_International.png,2026-06-11 15:26:41,,LOW,0
Creation-Evolution Headlines,https://crev.info,sample_snapshots_mixed/Creation-Evolution_Headlines.png,2026-06-11 15:26:41,USA,LOW,0
Creative Destruction Media - CD Media,https://creativedestructionmedia.com,sample_snapshots_mixed/Creative_Destruction_Media_-_CD_Media.png,2026-06-11 15:26:41,USA,LOW,0
Cronkite News,https://cronkitenews.azpbs.org,sample_snapshots_mixed/Cronkite_News.png,2026-06-11 15:26:41,USA,HIGH,1
Culture Wars Magazine,https://culturewars.com,sample_snapshots_mixed/Culture_Wars_Magazine.png,2026-06-11 15:26:41,USA,LOW,0
CyberWar.News,https://cyberwar.news,sample_snapshots_mixed/CyberWar.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Daily Headlines,https://dailyheadlines.net,sample_snapshots_mixed/Daily_Headlines.png,2026-06-11 15:26:41,,LOW,0
Daily Presser,https://dailypresser.com,sample_snapshots_mixed/Daily_Presser.png,2026-06-11 15:26:41,USA,LOW,0
Daily Veracity,https://dailyveracity.com,sample_snapshots_mixed/Daily_Veracity.png,2026-06-11 15:26:41,USA,VERY LOW,0
Deccan Herald,https://deccanherald.com,sample_snapshots_mixed/Deccan_Herald_20260608_175944.png,2026-06-11 15:26:41,,MIXED,
Democracy Docket,https://democracydocket.com,sample_snapshots_mixed/Democracy_Docket.png,2026-06-11 15:26:41,USA,HIGH,1
Democrat and Chronicle,https://democratandchronicle.com,sample_snapshots_mixed/Democrat_and_Chronicle.png,2026-06-11 15:26:41,USA,HIGH,1
DigiTimes Asia,https://digitimes.com,sample_snapshots_mixed/DigiTimes_Asia.png,2026-06-11 15:26:41,,HIGH,1
Discoveries.News,https://discoveries.news,sample_snapshots_mixed/Discoveries.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Discovery Institute,https://discovery.org,sample_snapshots_mixed/Discovery_Institute.png,2026-06-11 15:26:41,USA,LOW,0
Dissent Magazine,https://dissentmagazine.org,sample_snapshots_mixed/Dissent_Magazine.png,2026-06-11 15:26:41,USA,HIGH,1
E&E News,https://eenews.net,sample_snapshots_mixed/E_E_News.png,2026-06-11 15:26:41,USA,HIGH,1
East PDX Today,https://eastpdxtoday.com,sample_snapshots_mixed/East_PDX_Today_20260608_181644.png,2026-06-11 15:26:41,USA,MIXED,
East Sierra News,https://eastsierranews.com,sample_snapshots_mixed/East_Sierra_News_20260608_181756.png,2026-06-11 15:26:41,USA,MIXED,
Ecology News,https://ecology.news,sample_snapshots_mixed/Ecology_News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Entertainment Weekly,https://ew.com,sample_snapshots_mixed/Entertainment_Weekly.png,2026-06-11 15:26:41,USA,HIGH,1
Extinction.News,https://extinction.news,sample_snapshots_mixed/Extinction.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
FDA.News,https://fda.news,sample_snapshots_mixed/FDA.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
FactCheck.org,https://factcheck.org,sample_snapshots_mixed/FactCheck.org.png,2026-06-11 15:26:41,USA,VERY HIGH,1
Fernie Free Press,https://thefreepress.ca,sample_snapshots_mixed/Fernie_Free_Press.png,2026-06-11 15:26:41,,HIGH,1
Fully Human,https://fully-human.org,sample_snapshots_mixed/Fully_Human.png,2026-06-11 15:26:41,,VERY LOW,0
Gastonia Times,https://gastoniatimes.com,sample_snapshots_mixed/Gastonia_Times_20260608_185427.png,2026-06-11 15:26:41,USA,MIXED,
Gear.News,https://gear.news,sample_snapshots_mixed/Gear.News.png,2026-06-11 15:26:41,USA,VERY LOW,0
Gingrich 360,https://gingrich360.com,sample_snapshots_mixed/Gingrich_360.png,2026-06-11 15:26:41,USA,LOW,0
Gold Country Today,https://goldcountrytoday.com,sample_snapshots_mixed/Gold_Country_Today_20260608_185931.png,2026-06-11 15:26:41,USA,MIXED,
Greek Reporter,https://greekreporter.com,sample_snapshots_mixed/Greek_Reporter_20260608_190320.png,2026-06-11 15:26:41,,MIXED,
