filename,name,url,issue,timestamp,factuality
2nd Amendment Daily News,2nd Amendment Daily News,https://secondamendmentdaily.com,Cloudflare — Invalid SSL certificate (526),,LOW
911Truth.org,911Truth.org,https://911truth.org,Capture error,,LOW
ABC News,ABC News,https://abcnews.go.com,Connection reset by server,,HIGH
,Abort73,https://abort73.com,SSL/TLS certificate error,,MIXED
Above Top Secret,Above Top Secret,https://abovetopsecret.com,"Blank — pure white, nothing rendered",,LOW
Above the Law,Above the Law,https://abovethelaw.com,Capture error,,HIGH
Activist Mommy/Elizabeth Johnston,Activist Mommy/Elizabeth Johnston,https://elizabethjohnston.org,403 Forbidden (Cloudflare),,LOW
Africa Check,Africa Check,https://africacheck.org,Bot check — Cloudflare Verify you are human,,VERY HIGH
,Africa News,https://africanews.com,Page load timeout,,MIXED
,Aish.com,https://Aish.com,Connection reset by server,,MIXED
,Al Jazeera,https://aljazeera.com,Page load timeout,,MIXED
,Al Mayadeen,https://english.almayadeen.net,Connection reset by server,,MIXED
Al.com,Al.com,https://www.al.com,Bot check — Cloudflare Verify you are human,,HIGH
Alt News,Alt News,https://altnews.in,DNS failure — domain does not exist,,HIGH
America Magazine,America Magazine,https://americamagazine.org,Bot check — wp.com Checking your browser,,HIGH
,American Alliance for Equal Rights,https://americanallianceforequalrights.org,Navigation during capture,,MIXED
,Amoskeag Times,https://amoskeagtimes.com,SSL/TLS certificate error,,MIXED
,Anadolu Agency,https://aa.com.tr,Navigation during capture,,MIXED
Angry_White_Men_20260608_165010.png,Angry White Men,https://angrywhitemen.org,Domain hijacked — redirects to unrelated Indonesian gambling site (MURAH4D),,MIXED
Anonymous Wire,Anonymous Wire,https://anonymouswire.com,Account suspended,,LOW
Anthropocene Magazine,Anthropocene Magazine,https://anthropocenemagazine.org,403 Forbidden (Cloudflare),,HIGH
Arkansas Democrat-Gazette,Arkansas Democrat-Gazette,https://arkansasonline.com,Bot check — Cloudflare Verify you are human,,HIGH
,Asian Dawn,https://asian-dawn.com,DNS failure — domain does not exist,,MIXED
,Augusta-Richmond Herald,https://augustarichmondherald.com,SSL/TLS certificate error,,MIXED
BOOMLIVE,BOOMLIVE,https://boomlive.in,Connection reset by server,,HIGH
Bangor Daily News,Bangor Daily News,https://bangordailynews.com,Bot check — wp.com Checking your browser,,HIGH
Baton Rouge Advocate,Baton Rouge Advocate,https://theadvocate.com,Bot detected — Challenge failed: Bot detected,,HIGH
Bay Area Reporter,Bay Area Reporter,https://ebar.com,Capture error,,HIGH
,Beliefnet,https://beliefnet.com,Page load timeout,,MIXED
