media_name,url,image_path,timestamp,country,factuality,trustworthiness,bias_rating,MBFC_source
100 Mile Free Press,https://100milefreepress.net,mediascopeAll/100_Mile_Free_Press.png,2026-06-03 17:39:43,,HIGH,1,LEFT-CENTER,
100% Fed up,http://100percentfedup.com,mediascopeAll/100_Fed_up.png,2026-06-20 20:11:21,USA,LOW,,EXTREME RIGHT,Questionable Source
21st Century Wire,https://21stcenturywire.com,mediascopeAll/21st_Century_Wire.png,2026-06-08 16:38:23,USA,MIXED,,RIGHT,
247Sports,https://247sports.com,mediascopeAll/247Sports.png,2026-06-03 17:40:33,,HIGH,1,LEAST BIASED,
350 Aotearoa,https://350.org.nz,mediascopeAll/350_Aotearoa.png,2026-06-03 17:40:03,USA,HIGH,1,LEFT,
350 Asia,https://350asia.org,mediascopeAll/350_Asia.png,2026-06-03 17:40:57,USA,HIGH,1,LEFT,
350 Australia,https://350.org.au,mediascopeAll/350_Australia.png,2026-06-03 17:41:12,USA,HIGH,1,LEFT,
350 Pilipinas,https://world.350.org/philippines/,mediascopeAll/350_Pilipinas.png,2026-06-03 17:40:59,USA,HIGH,1,LEFT,
350.org,https://350.org,mediascopeAll/350.org.png,2026-06-03 17:41:20,USA,HIGH,1,LEFT,
350Africa.org,https://350africa.org,mediascopeAll/350Africa.org.png,2026-06-03 17:41:24,USA,HIGH,1,LEFT,
404 Media,https://404media.co,mediascopeAll/404_Media.png,2026-06-08 16:38:57,USA,MOSTLY FACTUAL,,LEFT-CENTER,
7NEWS,https://7news.com.au,mediascopeAll/7NEWS.png,2026-06-08 16:39:24,,MIXED,,RIGHT-CENTER,
9 News,https://www.9news.com.au/,mediascopeAll/9_News.png,2026-06-03 17:41:34,,HIGH,1,RIGHT-CENTER,
972 Magazine,https://972mag.com,mediascopeAll/972_Magazine.png,2026-06-03 17:42:24,,HIGH,1,LEFT-CENTER,
A Voice for Men,http://www.avoiceformen.com,mediascopeAll/A_Voice_for_Men.png,2026-06-20 21:19:51,USA,LOW,,RIGHT,Questionable Source
ABC News Australia,https://abc.net.au,mediascopeAll/ABC_News_Australia.png,2026-06-03 17:41:58,,HIGH,1,LEFT-CENTER,
ABC News/Washington Post Polling,https://langerresearch.com,mediascopeAll/ABC_News_Washington_Post_Polling.png,2026-06-03 17:41:47,,VERY HIGH,1,LEAST BIASED,
